training start: 2022-03-20 12:47:53.967479[ Train | 001/200 ] loss = 2.23768, acc = 0.28272 || [ Valid | 001/200 ] loss = 1.90705, acc = 0.31055 -> best
[ Train | 050/200 ] loss = 0.36477, acc = 0.87015 || [ Valid | 050/200 ] loss = 0.88506, acc = 0.74841
[ Train | 051/200 ] loss = 0.37324, acc = 0.87316 || [ Valid | 051/200 ] loss = 0.80004, acc = 0.76272
[ Train | 052/200 ] loss = 0.34763, acc = 0.88109 || [ Valid | 052/200 ] loss = 0.80645, acc = 0.77426 -> best
[ Train | 053/200 ] loss = 0.33321, acc = 0.88661 || [ Valid | 053/200 ] loss = 0.88826, acc = 0.76434
[ Train | 054/200 ] loss = 0.33433, acc = 0.88541 || [ Valid | 054/200 ] loss = 0.81579, acc = 0.77792 -> best
[ Train | 055/200 ] loss = 0.32981, acc = 0.88475 || [ Valid | 055/200 ] loss = 0.79884, acc = 0.78449 -> best
[ Train | 056/200 ] loss = 0.32588, acc = 0.88719 || [ Valid | 056/200 ] loss = 0.90774, acc = 0.75844
[ Train | 057/200 ] loss = 0.32715, acc = 0.88717 || [ Valid | 057/200 ] loss = 0.77958, acc = 0.77692
[ Train | 058/200 ] loss = 0.31418, acc = 0.89298 || [ Valid | 058/200 ] loss = 0.88143, acc = 0.75391
[ Train | 059/200 ] loss = 0.31606, acc = 0.89298 || [ Valid | 059/200 ] loss = 0.82732, acc = 0.77587
[ Train | 060/200 ] loss = 0.29327, acc = 0.90028 || [ Valid | 060/200 ] loss = 0.78066, acc = 0.78046
[ Train | 061/200 ] loss = 0.29236, acc = 0.90038 || [ Valid | 061/200 ] loss = 0.88408, acc = 0.75410
[ Train | 062/200 ] loss = 0.28497, acc = 0.90019 || [ Valid | 062/200 ] loss = 0.76866, acc = 0.78244
[ Train | 063/200 ] loss = 0.26814, acc = 0.90682 || [ Valid | 063/200 ] loss = 0.85548, acc = 0.77940
[ Train | 064/200 ] loss = 0.28359, acc = 0.90204 || [ Valid | 064/200 ] loss = 0.87474, acc = 0.76898
[ Train | 065/200 ] loss = 0.28449, acc = 0.90020 || [ Valid | 065/200 ] loss = 0.91579, acc = 0.76124
[ Train | 066/200 ] loss = 0.25650, acc = 0.91188 || [ Valid | 066/200 ] loss = 0.88979, acc = 0.77457
[ Train | 067/200 ] loss = 0.25846, acc = 0.91160 || [ Valid | 067/200 ] loss = 0.76650, acc = 0.79807 -> best
[ Train | 068/200 ] loss = 0.24772, acc = 0.91608 || [ Valid | 068/200 ] loss = 0.83356, acc = 0.79013
[ Train | 069/200 ] loss = 0.25244, acc = 0.91338 || [ Valid | 069/200 ] loss = 0.87300, acc = 0.77301
[ Train | 070/200 ] loss = 0.25514, acc = 0.91233 || [ Valid | 070/200 ] loss = 1.02604, acc = 0.75410
[ Train | 071/200 ] loss = 0.24742, acc = 0.91461 || [ Valid | 071/200 ] loss = 0.95003, acc = 0.75535
[ Train | 072/200 ] loss = 0.24401, acc = 0.91579 || [ Valid | 072/200 ] loss = 0.91442, acc = 0.76712
[ Train | 073/200 ] loss = 0.23344, acc = 0.91815 || [ Valid | 073/200 ] loss = 0.85224, acc = 0.77662
[ Train | 074/200 ] loss = 0.22405, acc = 0.92131 || [ Valid | 074/200 ] loss = 0.81532, acc = 0.78616
[ Train | 075/200 ] loss = 0.22802, acc = 0.92256 || [ Valid | 075/200 ] loss = 0.87744, acc = 0.77972
[ Train | 076/200 ] loss = 0.22764, acc = 0.92470 || [ Valid | 076/200 ] loss = 1.06268, acc = 0.74332
[ Train | 077/200 ] loss = 0.23011, acc = 0.92039 || [ Valid | 077/200 ] loss = 0.91259, acc = 0.76998
[ Train | 078/200 ] loss = 0.21335, acc = 0.92668 || [ Valid | 078/200 ] loss = 1.07613, acc = 0.75113
[ Train | 079/200 ] loss = 0.21436, acc = 0.92544 || [ Valid | 079/200 ] loss = 0.99430, acc = 0.76143
[ Train | 080/200 ] loss = 0.20327, acc = 0.92966 || [ Valid | 080/200 ] loss = 0.87267, acc = 0.78026
[ Train | 081/200 ] loss = 0.21218, acc = 0.92462 || [ Valid | 081/200 ] loss = 0.91626, acc = 0.78697
[ Train | 082/200 ] loss = 0.19849, acc = 0.93237 || [ Valid | 082/200 ] loss = 1.02966, acc = 0.77345
[ Train | 083/200 ] loss = 0.20371, acc = 0.92843 || [ Valid | 083/200 ] loss = 0.90028, acc = 0.79255
[ Train | 084/200 ] loss = 0.21347, acc = 0.92404 || [ Valid | 084/200 ] loss = 0.85440, acc = 0.79082
[ Train | 085/200 ] loss = 0.19534, acc = 0.93376 || [ Valid | 085/200 ] loss = 0.88784, acc = 0.78611
[ Train | 086/200 ] loss = 0.18209, acc = 0.93781 || [ Valid | 086/200 ] loss = 1.02349, acc = 0.77550
[ Train | 087/200 ] loss = 0.18803, acc = 0.93611 || [ Valid | 087/200 ] loss = 0.88218, acc = 0.78157
[ Train | 088/200 ] loss = 0.20004, acc = 0.93061 || [ Valid | 088/200 ] loss = 1.04662, acc = 0.76316
training finish: 2022-03-21 11:31:01.771612
