training start: 2022-03-20 12:42:44.359575[ Train | 001/200 ] loss = 2.22564, acc = 0.29730 || [ Valid | 001/200 ] loss = 1.85407, acc = 0.36362 -> best
[ Train | 020/200 ] loss = 0.78713, acc = 0.73422 || [ Valid | 020/200 ] loss = 1.13511, acc = 0.65205
[ Train | 021/200 ] loss = 0.76042, acc = 0.74282 || [ Valid | 021/200 ] loss = 0.86362, acc = 0.70258
[ Train | 022/200 ] loss = 0.74294, acc = 0.74911 || [ Valid | 022/200 ] loss = 0.98793, acc = 0.67921
[ Train | 023/200 ] loss = 0.72588, acc = 0.75368 || [ Valid | 023/200 ] loss = 0.88830, acc = 0.71331 -> best
[ Train | 024/200 ] loss = 0.70335, acc = 0.75975 || [ Valid | 024/200 ] loss = 1.06998, acc = 0.65330
[ Train | 025/200 ] loss = 0.69727, acc = 0.75828 || [ Valid | 025/200 ] loss = 0.81988, acc = 0.72596 -> best
[ Train | 026/200 ] loss = 0.67066, acc = 0.77183 || [ Valid | 026/200 ] loss = 0.96387, acc = 0.69372
[ Train | 027/200 ] loss = 0.65434, acc = 0.77895 || [ Valid | 027/200 ] loss = 1.10106, acc = 0.66321
[ Train | 028/200 ] loss = 0.64883, acc = 0.77663 || [ Valid | 028/200 ] loss = 0.85036, acc = 0.72589
[ Train | 029/200 ] loss = 0.63499, acc = 0.78578 || [ Valid | 029/200 ] loss = 0.87927, acc = 0.71746
[ Train | 030/200 ] loss = 0.60080, acc = 0.79230 || [ Valid | 030/200 ] loss = 0.91986, acc = 0.71188
[ Train | 031/200 ] loss = 0.58489, acc = 0.80194 || [ Valid | 031/200 ] loss = 0.79834, acc = 0.73880 -> best
[ Train | 032/200 ] loss = 0.56700, acc = 0.80550 || [ Valid | 032/200 ] loss = 0.91096, acc = 0.70247
[ Train | 033/200 ] loss = 0.55340, acc = 0.81149 || [ Valid | 033/200 ] loss = 1.21627, acc = 0.66161
[ Train | 034/200 ] loss = 0.54690, acc = 0.81439 || [ Valid | 034/200 ] loss = 0.86281, acc = 0.73414
[ Train | 035/200 ] loss = 0.52716, acc = 0.82281 || [ Valid | 035/200 ] loss = 0.79863, acc = 0.75733 -> best
[ Train | 036/200 ] loss = 0.51347, acc = 0.82523 || [ Valid | 036/200 ] loss = 0.83617, acc = 0.72901
[ Train | 037/200 ] loss = 0.51357, acc = 0.82600 || [ Valid | 037/200 ] loss = 0.88810, acc = 0.72999
[ Train | 038/200 ] loss = 0.51049, acc = 0.82489 || [ Valid | 038/200 ] loss = 0.95651, acc = 0.71740
[ Train | 039/200 ] loss = 0.49188, acc = 0.83321 || [ Valid | 039/200 ] loss = 0.82055, acc = 0.74549
[ Train | 040/200 ] loss = 0.48119, acc = 0.83750 || [ Valid | 040/200 ] loss = 0.82361, acc = 0.75101
[ Train | 041/200 ] loss = 0.47072, acc = 0.83696 || [ Valid | 041/200 ] loss = 0.74387, acc = 0.76991 -> best
[ Train | 042/200 ] loss = 0.46140, acc = 0.84339 || [ Valid | 042/200 ] loss = 0.79771, acc = 0.75492
[ Train | 043/200 ] loss = 0.43524, acc = 0.85116 || [ Valid | 043/200 ] loss = 0.76461, acc = 0.76105
[ Train | 044/200 ] loss = 0.44713, acc = 0.84366 || [ Valid | 044/200 ] loss = 0.89170, acc = 0.72999
[ Train | 045/200 ] loss = 0.40359, acc = 0.86293 || [ Valid | 045/200 ] loss = 0.93167, acc = 0.72652
[ Train | 046/200 ] loss = 0.41936, acc = 0.85920 || [ Valid | 046/200 ] loss = 0.79012, acc = 0.76167
[ Train | 047/200 ] loss = 0.41421, acc = 0.85763 || [ Valid | 047/200 ] loss = 1.02116, acc = 0.70680
[ Train | 048/200 ] loss = 0.38830, acc = 0.86463 || [ Valid | 048/200 ] loss = 0.76968, acc = 0.78139 -> best
[ Train | 049/200 ] loss = 0.38637, acc = 0.87006 || [ Valid | 049/200 ] loss = 0.82362, acc = 0.76049
[ Train | 050/200 ] loss = 0.38168, acc = 0.86531 || [ Valid | 050/200 ] loss = 0.70109, acc = 0.78052
[ Train | 051/200 ] loss = 0.37780, acc = 0.87196 || [ Valid | 051/200 ] loss = 0.82906, acc = 0.75672
[ Train | 052/200 ] loss = 0.35788, acc = 0.87015 || [ Valid | 052/200 ] loss = 0.82377, acc = 0.76477
[ Train | 053/200 ] loss = 0.35838, acc = 0.87735 || [ Valid | 053/200 ] loss = 0.77752, acc = 0.76682
[ Train | 054/200 ] loss = 0.34754, acc = 0.87856 || [ Valid | 054/200 ] loss = 0.83807, acc = 0.75703
[ Train | 055/200 ] loss = 0.33405, acc = 0.88595 || [ Valid | 055/200 ] loss = 0.80018, acc = 0.76118
[ Train | 056/200 ] loss = 0.32843, acc = 0.88605 || [ Valid | 056/200 ] loss = 0.79425, acc = 0.77066
[ Train | 057/200 ] loss = 0.32283, acc = 0.88849 || [ Valid | 057/200 ] loss = 0.86540, acc = 0.75423
[ Train | 058/200 ] loss = 0.31168, acc = 0.89137 || [ Valid | 058/200 ] loss = 0.89609, acc = 0.76887
[ Train | 059/200 ] loss = 0.28730, acc = 0.89896 || [ Valid | 059/200 ] loss = 0.95198, acc = 0.74909
[ Train | 060/200 ] loss = 0.30933, acc = 0.89233 || [ Valid | 060/200 ] loss = 0.84251, acc = 0.77686
[ Train | 061/200 ] loss = 0.30856, acc = 0.89345 || [ Valid | 061/200 ] loss = 0.88676, acc = 0.76614
[ Train | 062/200 ] loss = 0.29787, acc = 0.89979 || [ Valid | 062/200 ] loss = 0.97042, acc = 0.74766
[ Train | 063/200 ] loss = 0.28314, acc = 0.90206 || [ Valid | 063/200 ] loss = 0.75628, acc = 0.79318 -> best
[ Train | 064/200 ] loss = 0.27635, acc = 0.90757 || [ Valid | 064/200 ] loss = 0.93802, acc = 0.75597
[ Train | 065/200 ] loss = 0.30245, acc = 0.89373 || [ Valid | 065/200 ] loss = 0.96472, acc = 0.74828
[ Train | 066/200 ] loss = 0.28282, acc = 0.90411 || [ Valid | 066/200 ] loss = 0.80696, acc = 0.77785
[ Train | 067/200 ] loss = 0.25698, acc = 0.91047 || [ Valid | 067/200 ] loss = 0.84819, acc = 0.77631
[ Train | 068/200 ] loss = 0.26342, acc = 0.90814 || [ Valid | 068/200 ] loss = 0.72359, acc = 0.79608 -> best
[ Train | 069/200 ] loss = 0.25389, acc = 0.91160 || [ Valid | 069/200 ] loss = 0.79819, acc = 0.78499
[ Train | 070/200 ] loss = 0.26308, acc = 0.90720 || [ Valid | 070/200 ] loss = 0.80374, acc = 0.79161
[ Train | 071/200 ] loss = 0.25671, acc = 0.91114 || [ Valid | 071/200 ] loss = 0.76887, acc = 0.78989
[ Train | 072/200 ] loss = 0.22844, acc = 0.92188 || [ Valid | 072/200 ] loss = 1.11163, acc = 0.73297
[ Train | 073/200 ] loss = 0.24943, acc = 0.91348 || [ Valid | 073/200 ] loss = 0.82869, acc = 0.78181
[ Train | 074/200 ] loss = 0.23225, acc = 0.92021 || [ Valid | 074/200 ] loss = 0.85837, acc = 0.78268
[ Train | 075/200 ] loss = 0.23223, acc = 0.91814 || [ Valid | 075/200 ] loss = 0.91252, acc = 0.77742
[ Train | 076/200 ] loss = 0.23296, acc = 0.91843 || [ Valid | 076/200 ] loss = 0.93007, acc = 0.76830
[ Train | 077/200 ] loss = 0.22665, acc = 0.92208 || [ Valid | 077/200 ] loss = 0.95410, acc = 0.76397
[ Train | 078/200 ] loss = 0.22095, acc = 0.92283 || [ Valid | 078/200 ] loss = 0.85384, acc = 0.78566
[ Train | 079/200 ] loss = 0.22100, acc = 0.92422 || [ Valid | 079/200 ] loss = 0.85544, acc = 0.77320
[ Train | 080/200 ] loss = 0.21274, acc = 0.92609 || [ Valid | 080/200 ] loss = 0.76517, acc = 0.79590
[ Train | 081/200 ] loss = 0.20508, acc = 0.93115 || [ Valid | 081/200 ] loss = 0.86459, acc = 0.78052
[ Train | 082/200 ] loss = 0.20679, acc = 0.92805 || [ Valid | 082/200 ] loss = 0.77591, acc = 0.79727 -> best
[ Train | 083/200 ] loss = 0.20803, acc = 0.92704 || [ Valid | 083/200 ] loss = 0.83706, acc = 0.79608
[ Train | 084/200 ] loss = 0.22585, acc = 0.92300 || [ Valid | 084/200 ] loss = 0.76112, acc = 0.80551 -> best
[ Train | 085/200 ] loss = 0.18828, acc = 0.93397 || [ Valid | 085/200 ] loss = 0.90384, acc = 0.78126
[ Train | 086/200 ] loss = 0.20001, acc = 0.93012 || [ Valid | 086/200 ] loss = 0.86934, acc = 0.78232
[ Train | 087/200 ] loss = 0.20167, acc = 0.93098 || [ Valid | 087/200 ] loss = 0.92994, acc = 0.77822
[ Train | 088/200 ] loss = 0.19080, acc = 0.93207 || [ Valid | 088/200 ] loss = 0.89640, acc = 0.78839
[ Train | 089/200 ] loss = 0.17140, acc = 0.94201 || [ Valid | 089/200 ] loss = 0.98117, acc = 0.77568
[ Train | 090/200 ] loss = 0.19927, acc = 0.92871 || [ Valid | 090/200 ] loss = 0.79167, acc = 0.78690
[ Train | 091/200 ] loss = 0.18430, acc = 0.93582 || [ Valid | 091/200 ] loss = 0.90352, acc = 0.78684
[ Train | 092/200 ] loss = 0.17955, acc = 0.93957 || [ Valid | 092/200 ] loss = 0.90397, acc = 0.78393
[ Train | 093/200 ] loss = 0.19196, acc = 0.93406 || [ Valid | 093/200 ] loss = 0.91936, acc = 0.78827
[ Train | 094/200 ] loss = 0.18473, acc = 0.93826 || [ Valid | 094/200 ] loss = 0.90953, acc = 0.78976
[ Train | 095/200 ] loss = 0.17773, acc = 0.93928 || [ Valid | 095/200 ] loss = 0.86314, acc = 0.79671
[ Train | 096/200 ] loss = 0.16728, acc = 0.94134 || [ Valid | 096/200 ] loss = 0.83282, acc = 0.81623 -> best
[ Train | 097/200 ] loss = 0.16273, acc = 0.94444 || [ Valid | 097/200 ] loss = 0.91348, acc = 0.78604
[ Train | 098/200 ] loss = 0.17112, acc = 0.93874 || [ Valid | 098/200 ] loss = 0.90874, acc = 0.78796
[ Train | 099/200 ] loss = 0.17738, acc = 0.93890 || [ Valid | 099/200 ] loss = 0.91209, acc = 0.78797
[ Train | 100/200 ] loss = 0.14694, acc = 0.94837 || [ Valid | 100/200 ] loss = 0.85067, acc = 0.80259
[ Train | 101/200 ] loss = 0.18174, acc = 0.93713 || [ Valid | 101/200 ] loss = 0.79660, acc = 0.80687
[ Train | 102/200 ] loss = 0.16095, acc = 0.94603 || [ Valid | 102/200 ] loss = 0.83057, acc = 0.80502
[ Train | 103/200 ] loss = 0.17400, acc = 0.94052 || [ Valid | 103/200 ] loss = 0.76832, acc = 0.81152
[ Train | 104/200 ] loss = 0.15254, acc = 0.94601 || [ Valid | 104/200 ] loss = 0.77117, acc = 0.82212 -> best
[ Train | 105/200 ] loss = 0.15612, acc = 0.94818 || [ Valid | 105/200 ] loss = 0.87228, acc = 0.79472
[ Train | 106/200 ] loss = 0.16055, acc = 0.94442 || [ Valid | 106/200 ] loss = 0.84790, acc = 0.81109
[ Train | 107/200 ] loss = 0.14285, acc = 0.95136 || [ Valid | 107/200 ] loss = 0.80788, acc = 0.80433
[ Train | 108/200 ] loss = 0.15569, acc = 0.94594 || [ Valid | 108/200 ] loss = 0.84585, acc = 0.80526
[ Train | 109/200 ] loss = 0.15371, acc = 0.94594 || [ Valid | 109/200 ] loss = 0.89751, acc = 0.78827
